target,location,location_name,truth_date,year_week,value,source,file_kind,snapshot_date,file_path
ARI incidence,BE,Belgium,2015-09-27,2015-W39,1866.5,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-10-04,2015-W40,1875.5,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-10-11,2015-W41,1827.1,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-10-18,2015-W42,1555.1,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-10-25,2015-W43,1583.5,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-11-01,2015-W44,1617.4,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-11-08,2015-W45,1287.0,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-11-15,2015-W46,1320.1,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-11-22,2015-W47,1652.7,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-11-29,2015-W48,1743.1,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-12-06,2015-W49,1875.1,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-12-13,2015-W50,1934.0,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-12-20,2015-W51,1951.9,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2015-12-27,2015-W52,1469.1,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-01-03,2015-W53,1310.3,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-01-10,2016-W01,1853.5,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-01-17,2016-W02,1662.6,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
ARI incidence,BE,Belgium,2016-01-24,2016-W03,2012.3,ERVISS,snapshot,2024-10-18,/home/nadillia/Documents/MIGHTE-respicast-jointGBM/RespiCast-SyndromicIndicators/target-data/ERVISS/snapshots/2024-10-18-ARI_incidence.csv
